Screenshot,Publication Name,Authors,Published On,Link to download,Innovation,Objective,Sector,Region,Methodology,Abstract
Managerial Governance.png,Managerial Governance and Transparency in Public Sector to Improve Services for Citizens and Companies,"Nunzio  Casalino, Peter Bednar",1/1/2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2578142,Open Data,"Effectiveness, Legitimacy",,Europe,Case Analysis,"Recent debate and associated initiatives dealing with public sector innovation have mainly aimed at improving the effectiveness and efficiency of the delivery of public services and improved transparency and user friendliness. Beyond typical administrative reforms, innovation is expected to help address societal challenges such as the aging population, inclusion, health care, education, public safety, environment and greenhouse gas emissions reduction. The public sector consists of a complex open system of organizations with various tasks. Therefore, decision-making can be slower than in the private sector because of large chains of command. Innovations here will often have an impact across this complex organizational structure, and thus must be supported by a robust strategy. To strengthen democracy, promote government efficiency and effectiveness, discourage wastes and misuses of government resources, public administrations have to promote a new stronger level of openness in government. The purpose of this manuscript is to describe an innovative approach for the governance of public systems and services, currently applied in the Italian public administration domain, which could be easily replicated in other countries as well. Two initiatives, to collect and provide relevant public information gathered from different and heterogeneous public organizations, to improve government processes and increase quality of services for citizens and companies, are described. The cases adopted have been validated through a case analysis approach involving the Italian Agency for the public administration digitalization to understand new e-government scenarios within the context of governmental reforms heavily influenced by the principles of Open Government Model."
Delimiting transparency.png,‘Data.gov-in-a-box’: Delimiting transparency,Clare Birchall,2015,http://est.sagepub.com/content/early/2015/02/27/1368431014555259.abstract,Open Data,"Legitimacy, Participation",Economy,North America,Conceptual Framework,"Given that the Obama administration still relies on many strategies we would think of as sitting on the side of secrecy, it seems that the only lasting transparency legacy of the Obama administration will be data-driven or e-transparency as exemplified by the web interface ‘data.gov’. As the data-driven transparency model is exported and assumes an ascendant position around the globe, it is imperative that we ask what kind of publics, subjects, and indeed, politics it will produce. Open government data is not just a matter concerning accountability but is seen as a necessary component of the new ‘data economy’. To participate and benefit from this info-capitalist-democracy, the data subject is called upon to be both auditor and entrepreneur. This article explores the implications of responsibilization, outsourcing, and commodification on the contract of representational democracy and asks if there are other forms of transparency that might better resist neoliberal formations and re-politicize the public sphere."
Urban technology.png,Urban technology analysis matrix,"Pablo Emilio Branchi, Carlos Fernández-Valdivielso and Ignacio Raúl Matías",,http://www.emeraldinsight.com/doi/full/10.1108/MEQ-02-2014-0026,Data Analysis,Effectiveness,,Europe,"Quantitative Analysis, Conceptual Framework","Purpose
– The purpose of this paper is to develop a method for better analyzing the utility and impact of new technologies on smart cities. The authors have designed a tool that will evaluate new technologies according to a three-pronged scoring system that considers the impact on physical space, environmental issues and city residents. The purpose of this tool is to be used by city planners as part of a strategic approach to the implementation of a smart city initiative in order to reduce unnecessary public spending and ensure the optimal allocation of city resources.

Design/methodology/approach
– The information and communication technologies that manage and transform twenty-first century cities must be reviewed, analyzing their impact on new social behaviors that shape the spaces and means of communication, developing a new methodology and setting the basis for an analysis matrix to score the different and technologies that affect a smart city environment.

Research limitations/implications
– Traditional technological scenarios have been challenged, and smart cities have become the center of urban competitiveness. A lack of clarity has been detected in the way of describing what smart cities are, and the authors try to establish a methodology for urban policy makers to do so. As a dynamic process that affects several aspects, researchers are encouraged to test the proposed solution further.

Practical implications
– After a review of the state-of-the-art, the authors found that there are no existing systems for assessing smart city strategies regarding new, evolving technologies. The methodology attempts to design a simple tool to bring urban developers and policy makers closer to the technology and to have an instrument with which to compare different alternatives before choosing one.

Social implications
– Helped by new technologies, citizens are the ones who have the power to define new urban scenarios. For this reason the methodology the authors propose must have citizens and their needs as the ultimate reference, considering all the social, physical and environmental effects on people before selecting a new technology for urban strategies.

Originality/value
– This paper fulfills an identified need to study how new technologies could affect urban scenarios before being applied, developing an analysis system in the form of a matrix to be used by urban planners and policy makers to decide how best to use them."
Fifty Shades.png,Fifty Shades of Manipulation,Cass R. Sunstein,2/18/2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2565892,Behavioral Science and Nudges,"Effectiveness, Legitimacy",,North America,Conceptual Framework,"A statement or action can be said to be manipulative if it does not sufficiently engage or appeal to people’s capacity for reflective and deliberative choice. One problem with manipulation, thus understood, is that it fails to respect people’s autonomy and is an affront to their dignity. Another problem is that if they are products of manipulation, people’s choices might fail to promote their own welfare, and might instead promote the welfare of the manipulator. To that extent, the central objection to manipulation is rooted in a version of Mill’s Harm Principle: People know what is in their best interests and should have a (manipulation-free) opportunity to make that decision. On welfarist grounds, the norm against manipulation can be seen as a kind of heuristic, one that generally works well, but that can also lead to serious errors, at least when the manipulator is both informed and genuinely interested in the welfare of the chooser. 

For the legal system, a pervasive puzzle is why manipulation is rarely policed. The simplest answer is that manipulation has so many shades, and in a social order that values free markets and is committed to freedom of expression, it is exceptionally difficult to regulate manipulation as such. But as the manipulator’s motives become more self-interested or venal, and as efforts to bypass people’s deliberative capacities becomes more successful, the ethical objections to manipulation become very forceful, and the argument for a legal response is fortified. The analysis of manipulation bears on emerging first amendment issues raised by compelled speech, especially in the context of graphic health warnings. Importantly, it can also help orient the regulation of financial products, where manipulation of consumer choices is an evident but rarely explicit concern."
Competition Based Innovation.png,Competition-Based Innovation: The Case of the X Prize Foundation,"Mokter  Hossain, Ilkka  Kauranen ",10/20/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2549616,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,North America,Case Analysis,"The use of competition-based processes for the development of innovations is increasing. In parallel with the increasing use of competition-based innovation in business firms, this model of innovation is successfully being used by non-profit organizations for advancing the development of science and technology. One such non-profit organization is the X Prize Foundation, which designs and manages innovation competitions to encourage scientific and technological development. The objective of this article is to analyze the X Prize Foundation and three of the competitions it has organized in order to identify the challenges of competition-based innovation and how to overcome them."
Does Participatory Budgeting.png,Does Participatory Budgeting Improve Decentralized Public Service Delivery?,"Diether W. Beuermann, Maria Amelina",2014,http://publications.iadb.org/handle/11319/6699?locale-attribute=en,Citizen Engagement and Crowdsourcing,Effectiveness,,Europe,Quantitative Analysis,"This paper provides the first experimental evaluation of the participatory budgeting model showing that it increased public participation in the process of public decision making, increased local tax revenues collection, channeled larger fractions of public budgets to services stated as top priorities by citizens, and increased satisfaction levels with public services. These effects, however, were found only when the model was implemented in already-mature administratively and politically decentralized local governments. The findings highlight the importance of initial conditions with respect to the decentralization context for the success of participatory governance. - See more at: http://publications.iadb.org/handle/11319/6699?locale-attribute=en#sthash.CjXBEQ5C.dpuf"
Is Transparency.png,Is Transparency a Recipe for Innovation?,Dr. Bastiaan Heemsbergen,2015,http://irc.queensu.ca/articles/transparency-recipe-innovation,"Citizen Engagement and Crowdsourcing, Open Data","Effectiveness, Legitimacy",,North America,Conceptual Framework,"Innovation is a key driver in organizational sustainability, and yes, openness and transparency are a recipe for innovation. But, according to Tapscott and Williams, “when it comes to innovation, competitive advantage and organizational success, ‘openness’ is rarely the first word one would use to describe companies and other societal organizations like government agencies or medical institutions. For many, words like ‘insular,’ ‘bureaucratic,’ ‘hierarchical,’ ‘secretive’ and ‘closed’ come to mind instead.”1 And yet a few months ago, The Tesla Model S just became the world's first open-source car. Elon Musk, CEO of Tesla Motor Vehicles, shared all the patents on Tesla's electric car technology, allowing anyone — including competitors — to use them without fear of litigation. Elon wrote in his post “Yesterday, there was a wall of Tesla patents in the lobby of our Palo Alto headquarters. That is no longer the case. They have been removed, in the spirit of the open source movement, for the advancement of electric vehicle technology.”2
In the public sector, terms such as open government, citizen sourcing, and wiki government are also akin to the notion of open innovation and transparency. As Hilgers and Ihl report, “a good example of this approach is the success of the Future Melbourne program, a Wiki and blog-based approach to shaping the future urban landscape of Australia’s second largest city. The program allowed citizens to directly edit and comment on the plans for the future development of the city. It attracted more than 30,000 individuals, who submitted hundreds of comments and suggestions (futuremelbourne.com.au). Basically, problems concerning design and creativity, future strategy and local culture, and even questions of management and service innovation can be broadcasted on such web-platforms.”3 The authors suggest that there are three dimensions to applying the concept of open innovation to the public sector: citizen ideation and innovation (tapping knowledge and creativity), collaborative administration (user generated new tasks and processes), and collaborative democracy (improve public participation in the policy process)."
Can 311.png,Can 311 Call Centers Improve Service Delivery? Lessons from New York and Chicago,Jane Wiseman,2015,http://publications.iadb.org/handle/11319/6765?scope=123456789/1&thumbnail=true&rpp=5&page=1&group_by=none&etal=0,"Citizen Engagement and Crowdsourcing, Civic Technology",Effectiveness,,North America,"Comparative Analysis, Quantitative Analysis","This paper is the first of the IDB's ""Innovations in Public Service Delivery"" series, which identifies and analyzes innovative experiences of promising practices in Latin America and the Caribbean and around the world to improve the quality and delivery of public services. It presents the 311 Programs in New York City and Chicago, leading 311 centers in the United States. ""311"" is the universal toll-free number that provides citizens with a single point of entry to a wide array of information and services in major cities. In the cities studied, these centers have evolved to support new models of service delivery management. This publication provides an overview of these programs, analyzing their design and implementation, results, and impacts, and identifying their success factors. The final section consolidates the lessons learned from these experiences, highlighting what policymakers and public officials should consider when developing similar solutions. - See more at: http://publications.iadb.org/handle/11319/6765?scope=123456789/1&thumbnail=true&rpp=5&page=1&group_by=none&etal=0#sthash.yyDAO9OJ.dpuf"
Motivations for sustained.png,Motivations for sustained participation in crowdsourcing: The role of talk in a citizen science case study,"Corey Brian Jackson, Carsten Østerlund, Gabriel Mugar, Katie DeVries Hassman, Kevin Crowston",2015,http://conferences.computer.org/hicss/2015/papers/7367b624.pdf,Citizen Engagement and Crowdsourcing,Participation,,,Case Analysis,"The paper explores the motivations of volunteers in a large crowd sourcing project and contributes to our understanding of the motivational factors that lead to deeper engagement beyond initial participation. Drawing on the theory of legitimate peripheral participation (LPP) and the literature on motivation in crowd sourcing, we analyze interview and trace data from a large citizen science project. The analyses identify ways in which the technical features of the projects may serve as motivational factors leading participants towards sustained participation. The results suggest volunteers first engage in activities to support knowledge acquisition and later share knowledge with other volunteers and finally increase participation in Talk through a punctuated process of role discovery."
Will Organization Design.png,Will Organization Design Be Affected By Big Data?,"Giles Slinger, Rupert Morrison",2014,http://www.jorgdesign.net/index.php/jod/article/view/9729,Data Analysis,Effectiveness,,,Conceptual Framework,"Computing power and analytical methods allow us to create, collate, and analyze more data than ever before. When datasets are unusually large in volume, velocity, and variety, they are referred to as “big data.” Some observers have suggested that in order to cope with big data (a) organizational structures will need to change and (b) the processes used to design organizations will be different. In this article, we differentiate big data from relatively slow-moving, linked people data. We argue that big data will change organizational structures as organizations pursue the opportunities presented by big data. The processes by which organizations are designed, however, will be relatively unaffected by big data. Instead, organization design processes will be more affected by the complex links found in people data."
Governments and Citizens.png,"Governments and Citizens Getting to Know Each Other? Open, Closed, and Big Data in Public Management Reform",,,http://onlinelibrary.wiley.com/doi/10.1002/1944-2866.POI377/abstract,"Data Analysis, Open Data","Effectiveness, Participation",,,Survey,"Citizens and governments live increasingly digital lives, leaving trails of digital data that have the potential to support unprecedented levels of mutual government–citizen understanding, and in turn, vast improvements to public policies and services. Open data and open government initiatives promise to “open up” government operations to citizens. New forms of “big data” analysis can be used by government itself to understand citizens' behavior and reveal the strengths and weaknesses of policy and service delivery. In practice, however, open data emerges as a reform development directed to a range of goals, including the stimulation of economic development, and not strictly transparency or public service improvement. Meanwhile, governments have been slow to capitalize on the potential of big data, while the largest data they do collect remain “closed” and under-exploited within the confines of intelligence agencies. Drawing on interviews with civil servants and researchers in Canada, the United Kingdom, and the United States between 2011 and 2014, this article argues that a big data approach could offer the greatest potential as a vehicle for improving mutual government–citizen understanding, thus embodying the core tenets of Digital Era Governance, argued by some authors to be the most viable public management model for the digital age (Dunleavy, Margetts, Bastow, & Tinkler, 2005, 2006; Margetts & Dunleavy, 2013)."
Open Government and Democracy.png,Open Government and Democracy: A Research Review,"Karin Hansson, Kheira Belkacem, Love Ekenberg",,http://ssc.sagepub.com/content/early/2014/12/03/0894439314560847.abstract,"Citizen Engagement and Crowdsourcing, Open Data","Legitimacy, Participation",,,Conceptual Framework,"The concept of open government, having been promoted widely in the past 5 years, has promised a broader notion than e-government, as supposed to fundamentally transform governments to become more open and participative and collaborative. Unfortunately, this has not significantly enhanced a set of fundamental problems regarding e-government. One of the problems is that the underlying democratic ideology is rarely clearly expressed. In this paper, we have therefore constructed a framework for the analysis of open government from a democratic perspective, to explore the research foundation of open government and the types of research missing. We have looked closely at the notion of democracy in peer-reviewed journals on open government from 2009 to 2013, focusing on discussions of some fundamental issues regarding democracy and the type of solutions suggested. We have found that despite seemingly good intentions and an extensive rhetoric, there is still an apparent lack of adequate tools in which public deliberation and representation are addressed in any meaningful sense. There are two main important observations herein: (i) the rhetoric in the dominant discourse supports the concept of open government formulated by the Obama administration as transparency, participation, and collaboration, but in practice, the focus is predominantly on transparency and information exchange, while ignoring fundamental democratic issues regarding participation and collaboration, and (ii) the concept of the public is inadequately considered as a homogenous entity rather than a diversified group with different interests, preferences, and abilities."
Opening Government.png,Opening Government: Designing Open Innovation Processes to Collaborate With External Problem Solvers,Ines Mergel,2014,http://ssc.sagepub.com/content/early/2014/12/11/0894439314560851,"Citizen Engagement and Crowdsourcing, Expert Networking","Effectiveness, Participation
",,North America,"Quantitative Analysis
","Open government initiatives in the U.S. government focus on three main aspects: transparency, participation, and collaboration. Especially the collaboration mandate is relatively unexplored in the literature. In practice, government organizations recognize the need to include external problem solvers into their internal innovation creation processes. This is partly derived from a sense of urgency to improve the efficiency and quality of government service delivery. Another formal driver is the America Competes Act that instructs agencies to search for opportunities to meaningfully promote excellence in technology, education, and science. Government agencies are responding to these requirements by using open innovation (OI) approaches to invite citizens to crowdsource and peer produce solutions to public management problems. These distributed innovation processes occur at all levels of the U.S. government and it is important to understand what design elements are used to create innovative public management ideas. This article systematically reviews existing government crowdsourcing and peer production initiatives and shows that after agencies have defined their public management problem, they go through four different phases of the OI process: (1) idea generation through crowdsourcing, (2) incubation of submitted ideas with peer voting and collaborative improvements of favorite solutions, (3) validation with a proof of concept of implementation possibilities, and (4) reveal of the selected solution and the (internal) implementation of the winning idea. Participation and engagement are incentivized both with monetary and nonmonetary rewards, which lead to tangible solutions as well as intangible innovation outcomes, such as increased public awareness."
Participatory sensing.png,Participatory sensing: enabling interactive local governance through citizen engagement,"Slaven Marusic, Jayavardhana Gubbi, Helen Sullivan,  Yee Wei Law and M. Palaniswami",2014,http://apo.org.au/research/participatory-sensing-enabling-interactive-local-governance-through-citizen-engagement,"Citizen Engagement and Crowdsourcing, Data Analysis","Effectiveness, Participation",,Australia,"Conceptual Framework, Comparative Analysis",This paper explores participatory sensing and issues associated with governance in the light of new information gathering capabilities that directly engage citizens in collecting data and providing contextual insight that has the potential to greatly enhance Council operations.
Smart cities the state.png,Smart cities: the state-of-the-art and governance challenge,Mark Deakin,11/21/2014,http://link.springer.com/article/10.1186/s40604-014-0007-9/fulltext.html,"Citizen Engagement and Crowdsourcing, Data Analysis","Effectiveness, Participation",,Europe,Conceptual Framework,"Reflecting on the governance of smart cities, the state-of-the-art this paper advances offers a critique of recent city ranking and future Internet accounts of their development. Armed with these critical insights, it goes on to explain smart cities in terms of the social networks, cultural attributes and environmental capacities, vis-a-vis, vital ecologies of the intellectual capital, wealth creation and standards of participatory governance regulating their development. The Triple Helix model which the paper advances to explain these performances in turn suggests that cities are smart when the ICTs of future Internet developments successfully embed the networks society needs for them to not only generate intellectual capital, or create wealth, but also cultivate the environmental capacity, ecology and vitality of those spaces which the direct democracy of their participatory governance open up, add value to and construct."
A micro democratic.png,A micro-democratic perspective on crowd-work,Karin Hansson,2014,http://people.dsv.su.se/~khansson/papers/amicrodemocraticperspectiveoncrowdwork.pdf,Citizen Engagement and Crowdsourcing ,"Legitimacy, Participation",,,Conceptual Framework,"Social media has provided governments with new means to improve efficiency and innovation, by engaging a crowd in the gathering and development of data. These collaborative processes are also described as a way to improve democracy by enabling a more transparent and deliberative democracy where citizens participate more directly in decision processes on different levels. However, the dominant research on the e-democratic field takes a government perspective rather then a citizen perspective. Edemocracy from the perspective of the individual actor, in a global context, is less developed. In this paper I therefore develop a model for a democratic process outside the realm of the nation state, in a performative state where inequality is norm and the state is unclear and fluid. In this process eparticipation means an ICT supported method to get a diversity of opinions and perspectives rather than one single. This micro perspective on democratic participation online might be useful for development of tools for more democratic online crowds."
The Reliability.png,The Reliability of Tweets as a Supplementary Method of Seasonal Influenza Surveillance,"Aslam AA, Tsou MH, Spitzberg BH, An L, Gawron JM, Gupta DK, Peddecord KM, Nagel AC, Allen C, Yang JA, Lindsay S",2014,http://www.jmir.org/2014/11/e250/,Data Analysis,Effectiveness,Healthcare,North America,Quantitative Analysis,"Background: Existing influenza surveillance in the United States is focused on the collection of data from sentinel physicians and hospitals; however, the compilation and distribution of reports are usually delayed by up to 2 weeks. With the popularity of social media growing, the Internet is a source for syndromic surveillance due to the availability of large amounts of data. In this study, tweets, or posts of 140 characters or less, from the website Twitter were collected and analyzed for their potential as surveillance for seasonal influenza.
Objective: There were three aims: (1) to improve the correlation of tweets to sentinel-provided influenza-like illness (ILI) rates by city through filtering and a machine-learning classifier, (2) to observe correlations of tweets for emergency department ILI rates by city, and (3) to explore correlations for tweets to laboratory-confirmed influenza cases in San Diego.
Methods: Tweets containing the keyword “flu” were collected within a 17-mile radius from 11 US cities selected for population and availability of ILI data. At the end of the collection period, 159,802 tweets were used for correlation analyses with sentinel-provided ILI and emergency department ILI rates as reported by the corresponding city or county health department. Two separate methods were used to observe correlations between tweets and ILI rates: filtering the tweets by type (non-retweets, retweets, tweets with a URL, tweets without a URL), and the use of a machine-learning classifier that determined whether a tweet was “valid”, or from a user who was likely ill with the flu.
Results: Correlations varied by city but general trends were observed. Non-retweets and tweets without a URL had higher and more significant (P<.05) correlations than retweets and tweets with a URL. Correlations of tweets to emergency department ILI rates were higher than the correlations observed for sentinel-provided ILI for most of the cities. The machine-learning classifier yielded the highest correlations for many of the cities when using the sentinel-provided or emergency department ILI as well as the number of laboratory-confirmed influenza cases in San Diego. High correlation values (r=.93) with significance at P<.001 were observed for laboratory-confirmed influenza cases for most categories and tweets determined to be valid by the classifier.
Conclusions: Compared to tweet analyses in the previous influenza season, this study demonstrated increased accuracy in using Twitter as a supplementary surveillance tool for influenza as better filtering and classification methods yielded higher correlations for the 2013-2014 influenza season than those found for tweets in the previous influenza season, where emergency department ILI rates were better correlated to tweets than sentinel-provided ILI rates. Further investigations in the field would require expansion with regard to the location that the tweets are collected from, as well as the availability of more ILI data.

"
A New Taxonomy.png,A New Taxonomy of Smart City Projects,"Guido Perbolia,Alberto De Marcoc, Francesca Perfettia, Matteo Marone",2014,http://www.sciencedirect.com/science/article/pii/S2352146514001914,"Citizen Engagement and Crowdsourcing, Data Analysis",Effectiveness,,,Conceptual Framework,"City logistics proposes an integrated vision of freight transportation systems within urban area and it aims at the optimization of them as a whole in terms of efficiency, security, safety, viability and environmental sustainability. Recently, this perspective has been extended by the Smart City concept in order to include other aspects of city management: building, energy, environment, government, living, mobility, education, health and so on. At the best of our knowledge, a classification of Smart City Projects has not been created yet. This paper introduces such a classification, highlighting success factors and analyzing new trends in Smart City."
Law is Code.png,Law is Code: A Software Engineering Approach to Analyzing the United States Code,"William Li, Pablo Azar, David Larochelle, Phil Hill and Andrew Lo",9/21/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2511947,Data Analysis,"Access, Effectiveness",,North America,Quantitative Analysis,"The agglomeration of rules and regulations over time has produced a body of legal code that no single individual can fully comprehend. This complexity produces inefficiencies, makes the processes of understanding and changing the law difficult, and frustrates the fundamental principle that the law should provide fair notice to the governed. In this article, we take a quantitative, unbiased, and software-engineering approach to analyze the evolution of the United States Code from 1926 to today. Software engineers frequently face the challenge of understanding and managing large, structured collections of instructions, directives, and conditional statements, and we adapt and apply their techniques to the U.S. Code over time. Our work produces insights into the structure of the U.S. Code as a whole, its strengths and vulnerabilities, and new ways of thinking about individual laws. For example, we identify the first appearance and spread of important terms in the U.S. Code like ""whistleblower"" and ""privacy."" We also analyze and visualize the network structure of certain substantial reforms, including the Patient Protection and Affordable Care Act (PPACA) and the Dodd-Frank Wall Street Reform and Consumer Protection Act, and show how the interconnections of references can increase complexity and create the potential for unintended consequences. Our work is a timely illustration of computational approaches to law as the legal profession embraces technology for scholarship, to increase efficiency, and to improve access to justice."
CrowdSourcing Corruption.png,"Crowd-Sourcing Corruption: What Petrified Forests, Street Music, Bath Towels and the Taxman Can Tell Us About the Prospects for Its Future",Dieter Zinnbauer,9/15/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2508606,Citizen Engagement and Crowdsourcing,Legitimacy,,,Conceptual Framework,"This article seeks to map out the prospects of crowd-sourcing technologies in the area of corruption-reporting. A flurry of initiative and concomitant media hype in this area has led to exuberant hopes that the end of impunity is not such a distant possibility any more - at least not for the most blatant, ubiquitous and visible forms of administrative corruption, such as bribes and extortion payments that on average almost a quarter of citizens reported to face year in, year out in their daily lives in so many countries around the world (Transparency International 2013). 

Only with hindsight will we be able to tell, if these hopes were justified. However, a closer look at an interdisciplinary body of literature on corruption and social mobilisation can help shed some interesting light on these questions and offer a fresh perspective on the potential of social media based crowd-sourcing for better governance and less corruption. So far the potential of crowd-sourcing is mainly approached from a technology-centred perspective. Where challenges are identified, pondered, and worked upon they are primarily technical and managerial in nature, ranging from issues of privacy protection and fighting off hacker attacks to challenges of data management, information validation or fundraising. 

In contrast, short shrift is being paid to insights from a substantive, multi-disciplinary and growing body of literature on how corruption works, how it can be fought and more generally how observed logics of collective action and social mobilisation interact with technological affordances and condition the success of these efforts. 

This imbalanced debate is not really surprising as it seems to follow the trajectory of the hype-and-bust cycle that we have seen in the public debate for a variety of other technology applications. From electronic health cards to smart government, to intelligent transport systems, all these and many other highly ambitious initiatives start with technology-centric visions of transformational impact. However, over time - with some hard lessons learnt and large sums spent - they all arrive at a more pragmatic and nuanced view on how social and economic forces shape the implementation of such technologies and require a more shrewd design approach, in order to make it more likely that potential actually translates into impact.

At a minimum, a trawl through this literature makes it possible to move beyond some of the most common-sense conjectures and develop a few more granular guesses on the future of crowd-sourcing corruption. At best, this approach may help identify some not so obvious challenges that may arise along the way and ensure that they are considered in the design process of future corruption crowd-sourcing interventions, raising their likelihood of impact and sustainable success.

The remainder of this essay is structured as follows: Section 1 introduces the concept of crowd-sourcing for good governance. It provides a very brief overview of some related initiatives in this area, alongside some of the challenges and reservations that are commonly raised in the debate. Section 2 casts the net a bit wider. It looks for interesting insight and cues in the broader social science literature on social mobilisation and corruption. Based on this, it seeks to gain a better understanding of what other more fundamental challenges may lay ahead for crowd-reporting corruption. Section 3 picks up on these anticipated challenges and presents some ideas on how to address them, both in the design, as well as in the implementation of future crowd-reporting systems, drawing both on emerging insights from impact assessments of conventional social accountability mechanisms as well as lessons learnt within Transparency International’s own global network of anti-corruption NGOs, some of which already run crowd-reporting platforms.

"
Open disclosure.png,"“Open” disclosure of innovations, incentives and follow-on reuse: Theory on processes of cumulative innovation and a field experiment in computational biology","Kevin J. Boudreaua, Karim R. Lakhani",2015,http://www.sciencedirect.com/science/article/pii/S0048733314001425,Citizen Engagement and Crowdsourcing,Effectiveness,,,Quantitative Analysis,"Most of society's innovation systems – academic science, the patent system, open source, etc. – are “open” in the sense that they are designed to facilitate knowledge disclosure among innovators. An essential difference across innovation systems is whether disclosure is of intermediate progress and solutions or of completed innovations. We theorize and present experimental evidence linking intermediate versus final disclosure to an ‘incentives-versus-reuse’ tradeoff and to a transformation of the innovation search process. We find intermediate disclosure has the advantage of efficiently steering development towards improving existing solution approaches, but also has the effect of limiting experimentation and narrowing technological search. We discuss the comparative advantages of intermediate versus final disclosure policies in fostering innovation."
"Smarter, Better, Faster.png","Smarter, Better, Faster: The Potential for Predictive Analytics and Rapid-Cycle Evaluation to Improve Program Development and Outcomes","Scott Cody, Andrew Asher",2015,http://www.brookings.edu/research/papers/2014/06/19-predictive-analytics-rapid-cycle-evaluation-improve-program-cody-asher,Data Analysis,Effectiveness,Economy,North America,Conceptual Framework,"Public administrators have always been interested in identifying cost-effective strategies for managing their programs. As government agencies invest in data warehouses and business intelligence capabilities, it becomes feasible to employ analytic techniques used more-commonly in the private sector. Predictive analytics and rapid-cycle evaluation are analytical approaches that are used to do more than describe the current status of programs: in both the public and private sectors, these approaches provide decision makers with guidance on what to do next."
Can Bottom-Up.png,Can Bottom-Up Institutional Reform Improve Service Delivery?,Ezequiel Molina,2014,"http://www.iadb.org/en/research-and-data/publication-details,3169.html?pub_id=IDB-WP-513",Citizen Engagement and Crowdsourcing,"Effectiveness, Legitimacy",,South America,"Case Analysis, Conceptual Framework","This article makes three contributions to the literature. First, it provides new evidence of the impact of community monitoring interventions using a unique dataset from the Citizen Visible Audit (CVA) program in Colombia. In particular, this article studies the effect of social audits on citizens’ assessment of service delivery performance. The second contribution is the introduction a theoretical framework to understand the pathway of change, the necessary building blocks that are needed for social audits to be effective. Using this framework, the third contribution of this article is answering the following questions: i) under what conditions do citizens decide to monitor government activity and ii) under what conditions do governments facilitate citizen engagement and become more accountable."
A taxonomy of crowdsourcing.png,A taxonomy of crowdsourcing based on task complexity,"Robbie T. Nakatsu, Elissa B. Grossman, Charalambos L. lacovou",10/3/2014,http://jis.sagepub.com/content/early/2014/09/25/0165551514550140.abstract,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,,Conceptual Framework,"Although a great many different crowdsourcing approaches are available to those seeking to accomplish individual or organizational tasks, little research attention has yet been given to characterizing how those approaches might be based on task characteristics. To that end, we conducted an extensive review of the crowdsourcing landscape, including a look at what types of taxonomies are currently available. Our review found that no taxonomy explored the multidimensional nature of task complexity. This paper develops a taxonomy whose specific intent is the classification of approaches in terms of the types of tasks for which they are best suited. To develop this task-based taxonomy, we followed an iterative approach that considered over 100 well-known examples of crowdsourcing. The taxonomy considers three dimensions of task complexity: (a) task structure – is the task well-defined, or does it require a more open-ended solution; (2) task interdependence – can the task be solved by an individual, or does it require a community of problem solvers; and (3) task commitment – what level of commitment is expected from crowd members? Based on this taxonomy, we identify seven categories of crowdsourcing and discuss prototypical examples of each approach. Furnished with such an understanding, one should be able to determine which crowdsourcing approach is most suitable for a particular task situation."
Behavioral Political Economy.png,Behavioral Political Economy: A Survey,"Jan Schnellenbach, Christian Schubert",2014,https://ideas.repec.org/p/ces/ceswps/_4988.html,Behavioral Science and Nudges,Effectiveness,,,Conceptual Framework,"Explaining individual behavior in politics should rely on the same motivational assumptions as explaining behavior in the market: That’s what Political Economy, understood as the application of economics to the study of political processes, is all about. In its standard variant, those who played the game of politics should also be considered rational and self-interested, unlike the benevolent despot of earlier models. History repeats itself with the rise of behavioral economics: Assuming cognitive biases to be present in the market, but not in politics, behavioral economists often call for government to intervene in a “benevolent” way. Recently, however, political economists have started to apply behavioral economics insights to the study of political processes, thereby re-establishing a unified methodology. This paper surveys the current state of the emerging field of “Behavioral Political Economy” and considers the scope for further research."
Real-time information.png,Real-time information about public transport’s position using crowdsourcing,"Nikos Souliotis, Anargyros Tsadimas, Mara Nikolaidou",2014,http://dl.acm.org/citation.cfm?id=2645807,"Citizen Engagement and Crowdsourcing, Civic Technology",Effectiveness,Transportation,Europe,Case Analysis,"Nowadays there is a multitude of mobile and tablet applications being developed in order to facilitate or disrupt every day tasks. Many of these are location based. A technique to serve in providing information and content is crowdsourcing. This technique is based on the public contributing information or resources giving them the opportunity to become both service providers and recipients at the same time.

Taking into account the above and after observing passengers using the public transport system, we came to the conclusion that it would be useful to be able to determine which transport medium (i.e which bus line out of a number running concurrently) is nearer at any given moment. This information allows for better decision making and choice of transportation.

For this we propose the development of an application to show the position of a selected transport vehicle. The position will be calculated based on geo-tracking provided by passengers boarded on a vehicle. This will allow for real time information to the application users in order to be able to determine their optimal route."
